nummer,naam,"ligging type 1","ligging nummer 1","ligging omschrijving 1","ligging hectometrering 1","ligging type 2","ligging nummer 2","ligging omschrijving 2","ligging hectometrering 2","ligging type 3","ligging nummer 3","ligging omschrijving 3","ligging hectometrering 3",thema,subthema,"eigenaar organisatie","eigenaar contactpersoon","eigenaar telefoon 1","eigenaar telefoon 2","in gedeeld beheer met organisatie","in gedeeld beheer met contactpersoon","in gedeeld beheer met telefoon 1","in gedeeld beheer met telefoon 2","beheerder organisatie","beheerder contactpersoon","beheerder telefoon 1","beheerder telefoon 2","beheerder email","geinspecteerd door",plaats,gebied,"dichtstbijzijnde hoogte markering",topcode,"gps coordinaten","rds coordinaten",opmerking,conditiescore,"laatste inspectiejaar","komende inspectiejaar","benodigd materieel","toelichting opmerkingveld","bgt nummer","bgt classificatie","imgeo classificatie","nen2767 beheerobject","Object Conditie","crow nummer","crow naam","crow info",verhardingssoort,"verhardings functie",verkeersfunctie,"wegcategorie lvvp","totale breedte","totale lengte","aantal rijbanen",peiljaar,"dichtstbijzijnde hoogtemerk",status,"volgende groot onderhoud in",id,breedte2,Wegvak,Wegnummer,Bebouwde_kom,Metrering,"Jaar conservering","Jaar deklaag","Jaar herstrating",Situering,Constructie,"Jaar aanleg",Onderhoudsproject,Wegvaknum,Lengte_Oppervlakte,objectBeginTijd,objectEindTijd,lokaalID,tijdstipRegistratie,eindRegistratie,LV-publicatiedatum,bronhouder,inOnderzoek,relatieveHoogteligging,bgt-status,plus-status,bgt-functie,bgt-fysiekVoorkomen,plus-functie,wegdeelOpTalud,ondersteunendWegdeelOpTalud,onbegroeidTerreindeelOpTalud,plus-fysiekVoorkomen,begroeidTerreindeelOpTalud,bgt-type,plus-type,identificatieBAG,nummeraanduidingreeks,typeOverbruggingsdeel,hoortBijTypeOverbrugging,overbruggingIsBeweegbaar,identificatieBAG_OPR,openbareRuimteNaam,openbareRuimteType,nauwkeurigheid,datumInwinning,inwinnendeInstantie,inwinningsmethode,bgt-classification,hectometeraanduiding,wijk,buurtcode,naamEnIdOpenbareRuimte,stadsdeel,wijkcode,creationDate,terminationDate,namespace,Objecttypegroep_IMBOR,Objecttype_IMBOR,Type_IMBOR,Typeplus_IMBOR,Typeplus2_IMBOR,Wegfunctiegroep_IMBOR,Wegfunctie_IMBOR,"Soort conservering","Type onderdeel",Gebruikersfunctie,Ondergrond2,Belang,Besteknummer,"Administratieve breedte","Soort verharding_N","Soort deklaag specifiek",Risicogetal,Actie,"Inspectie Rafeling","Inspectie Scheurvorming","Berekende lengte/oppervlakte"
VV-N351-00001150,"inrit en doorsteek - links",,,,,,,,,,,,,Verhardingen,"inrit en doorsteek",,,,,,,,,,,,,,,,,,,"POLYGON((6.146469402577 52.940066894611,6.146470338934 52.940079658705,6.146385446399 52.940050731093,6.146410230013 52.940045666836,6.146437855611 52.940016733907,6.146497571281 52.940037544829,6.146469402577 52.940066894611))","POLYGON((206042.334 550603.212,206042.382 550604.633,206036.709 550601.354,206038.381 550600.808,206040.272 550597.608,206044.262 550599.966,206042.334 550603.212))",,,,,,,P0021.03727c0f91f141d58dbef7c95c33e6a9,,,,,,,,,,,,,,,,,,,02104aeaddafde4a28a613c2c10dc91b,,113,N351,"buiten bebouwde kom","11,3",,,,links,,,N351-PWL-08.5-12.4,113,24.39,,,,20230227200244,,,P0021,,0,bestaand,,inrit,"open verharding",,0,,,"gebakken klinkers",,,,,,,,,,,,,,,,wegdeel,,,,,,,2016-04-12,,NL.IMGEO,Verhardingsobject,Verhardingsobject,Elementenverharding,Straatbaksteen,"Gebakken steen",Wegen,Inrit,,"inrit en doorsteek","niet van toepassing",,,19-43-WB,,elementenverharding,"straatbaksteen dikformaat",,,A+,A+,24.39
VV-N351-00002,parkeerplaats,,,,,,,,,,,,,Verhardingen,parkeerplaats,,,,,,,,,,,,,,,,,,,"POLYGON((6.040714184099 52.887339880174,6.040707718902 52.887347671107,6.040627928251 52.887323412595,6.040633778243 52.887316209171,6.040635260423 52.887314978863,6.040714647121 52.887339050861,6.040714184099 52.887339880174))","POLYGON((198986.073 544666.341,198985.63 544667.204,198980.284 544664.456,198980.685 544663.658,198980.786 544663.522,198986.105 544666.249,198986.073 544666.341))",,,,,,,P0021.99a5f2306904452db16d736d1817c9b8,,,,"geen beoordeling",,,,,,,,,,,,,,,0273082532605a2043cc686c296f555e,,207,N351,"buiten bebouwde kom","20,7",,,,links,,,,207,6.39,,,,20240222172502,,,P0021,,0,bestaand,,parkeervlak,"open verharding",,0,,,betonstraatstenen,,,,,,,,,,,,,,,,wegdeel,,,,,,,2023-08-03,,NL.IMGEO,,,,,,,,,parkeerplaats,"niet van toepassing",,,,1.0,elementenverharding,,,,A+,A+,6.39
VV-N351-00001970,"inrit en doorsteek-",,,,,,,,,,,,,Verhardingen,"inrit en doorsteek",,,,,,,,,,,,,,,,,,,"POLYGON((5.906937149292 52.841816632122,5.906893667629 52.841827012595,5.906882438286 52.841834996816,5.906844382675 52.841816155759,5.906854371146 52.841808662234,5.906854856626 52.841808300649,5.90685960748 52.841778461998,5.906937149292 52.841816632122))","POLYGON((190018.417 539527.515,190015.479 539528.649,190014.716 539529.532,190012.167 539527.417,190012.846 539526.588,190012.879 539526.548,190013.223 539523.23,190018.417 539527.515))",,,,,,,P0021.0ab6e07e6f534445b55773dd7e4bb25a,,,,,,,,,,,,,,,,,,,06cc57f55c71c75dd58cedb79df26bf8,,321,N351,"buiten bebouwde kom","32,1",,,,rechts,,,N351-PWR-30.7-35.0,321,17.72,,,,20170615125810,,,P0021,,0,bestaand,,inrit,"open verharding",,,,,,,,,,,,,,,,,,,,,wegdeel,,,,,,,2017-06-15,,NL.IMGEO,Verhardingsobject,Verhardingsobject,,,,Wegen,Inrit,,"inrit en doorsteek","niet van toepassing",,,,,elementenverharding,"straatbaksteen dikformaat",,,A+,A+,17.72
VV-N351-00001812,"inrit en doorsteek-links",,,,,,,,,,,,,Verhardingen,"inrit en doorsteek","Provincie Fryslân",,,,"Provincie Fryslân",,,,,,,,,,,,,,"POLYGON((6.038193484557 52.886657584378,6.03817200198 52.886684544862,6.038171302026 52.886685429378,6.038065180234 52.886656720596,6.038074246738 52.8866450064,6.038114578 52.886632654352,6.038194858907 52.886656094074,6.038193484557 52.886657584378))","POLYGON((198817.098 544588.886,198815.625 544591.873,198815.577 544591.971,198808.463 544588.712,198809.085 544587.414,198811.812 544586.064,198817.192 544588.721,198817.098 544588.886))",,,,,,,P0021.095a443d968943d1ae0eb4f0fbeb56b3,,,,,,,,,,,,3.8,,,,,,,074f2bf2de5daa9cb6aed4cfd88ce900,,208,N351,"buiten bebouwde kom","20,8",,,,links,,,N351-HRB-19.4-21.6,208,27.09,,,,20180712134046,,,P0021,,0,bestaand,,inrit,"half verhard",,0,,,grasklinkers,,,,,,,,,,,,,,,,wegdeel,,,,,,,2018-07-12,,NL.IMGEO,Verhardingsobject,Verhardingsobject,Elementenverharding,Betonstraatstenen,Grasbetonsteen,Wegen,Inrit,,"inrit en doorsteek","niet van toepassing",zand,hoog,,3.8,bermverharding,grasbetontegel,,,A+,A+,27.09
VV-N351-00000234,geleideconstructie,In,N351,rechts,263,,,,,,,,,Verhardingen,geleideconstructie,"Provincie Fryslân",,,,"Provincie Fryslân",,,,,,,,,,,,,,"POLYGON((5.981182173633 52.868073325489,5.981174924368 52.868079724175,5.981161291403 52.868090648001,5.981158976128 52.868089662004,5.981171793392 52.868079910513,5.981180399792 52.868072840053,5.981176514541 52.868071071044,5.981157741071 52.868062177814,5.981137379118 52.868052232059,5.981138834702 52.868051155394,5.981160584402 52.868061588507,5.981178115935 52.868069795944,5.981183142108 52.868072466929,5.981182173633 52.868073325489))","POLYGON((194996.807 542487.814,194996.313 542488.522,194995.385 542489.73,194995.23 542489.619,194996.102 542488.541,194996.688 542487.759,194996.428 542487.56,194995.172 542486.56,194993.81 542485.442,194993.909 542485.323,194995.364 542486.496,194996.537 542487.419,194996.873 542487.719,194996.807 542487.814))",,,,,,,P0021.9dc7c5324ddc4caea13ee9c240ca9169,,,,,,,,,,,,0.15,,1x2,,,,,07c16837cd1b1deea4ef85bdadfc9b82,,263,N351,"buiten bebouwde kom","26,3",,2017,,rechts,,2017,,263,1.02,,,,20180125152516,,,P0021,,0,bestaand,,"rijbaan regionale weg","gesloten verharding",,0,,,cementbeton,,,,,,,,,,,,,,,,wegdeel,,,,,,,2018-01-25,,NL.IMGEO,Verhardingsobject,Verhardingsobject,Betonverharding,,,Wegen,Rijbaan,,geleideconstructie,"niet van toepassing",veen,,17-01-WN,0.15,elementenverharding,betonelementen,,,,,1.02
VV-N351-00000223,"afrit en entree-links-263",,,,,,,,,,,,,Verhardingen,"afrit en entree","Provincie Fryslân",,,,,,,,"Provincie Fryslân",,,,,,,,,,"POLYGON((5.981717209361 52.868050970249,5.981699814195 52.868042968906,5.981679812331 52.868035483806,5.981658698648 52.868029235424,5.98163666668 52.868024258739,5.981613940149 52.868020624531,5.981620649346 52.868019288026,5.981631869978 52.868016625966,5.981642818055 52.868013578836,5.98165405481 52.868009919169,5.981664974949 52.868005910598,5.981675534168 52.868001571316,5.981685702767 52.867996901472,5.981697664196 52.867990838738,5.981706392245 52.867986167085,5.981715270379 52.86798161151,5.981724313449 52.867977171939,5.981733506481 52.867972839461,5.981742849721 52.867968632048,5.981752034994 52.867964820836,5.981761265426 52.867961054332,5.981770570962 52.86795735036,5.981779936628 52.867953700007,5.981789347576 52.867950103349,5.981799663131 52.867946412313,5.9818100841 52.867942828592,5.981820595756 52.867939361245,5.981831212948 52.867936010198,5.981852717558 52.867929522436,5.981863605587 52.86792643065,5.981874599521 52.867923482123,5.981885714207 52.867920676781,5.98189692007 52.867918023756,5.981908174029 52.867915631106,5.981919473515 52.867913310121,5.981930803677 52.867911060876,5.981942179366 52.867908883296,5.981953600582 52.867906777382,5.981962667303 52.867905168489,5.981971779918 52.86790365822,5.98198093855 52.867902255561,5.981990143076 52.867900951527,5.98199937877 52.867899755177,5.982001990847 52.867899634311,5.982010014372 52.867898848407,5.982009720481 52.867897987148,5.982013649285 52.867897500249,5.98202214543 52.867896523266,5.982022378698 52.867897294959,5.982035487833 52.867895908544,5.982046640235 52.867894783513,5.982054011963 52.867894117683,5.982060954396 52.867893552847,5.982067482996 52.867893133861,5.982074027791 52.867892813648,5.982087727809 52.867892287005,5.98210828884 52.867944100683,5.982106604298 52.867941449018,5.982104047173 52.86793906232,5.982100635496 52.867937174152,5.982096724315 52.86793568389,5.982092433406 52.867934662831,5.982087896537 52.867934119294,5.982083277669 52.867934097395,5.982044589301 52.86793720202,5.982006472637 52.867941939363,5.981995791575 52.867943870844,5.98196664828 52.867948868979,5.98195792395 52.867950539072,5.981940935506 52.867953867976,5.981929798746 52.867956143218,5.981919640476 52.867958296753,5.981910505733 52.867960364304,5.9819014618 52.867962557216,5.981893914507 52.867964509012,5.981878734122 52.86796865567,5.9818630087 52.867973128564,5.981854740739 52.867975596192,5.981846563222 52.867978162223,5.98183847627 52.867980835641,5.981830464789 52.86798359855,5.981792234372 52.867997439927,5.981786694349 52.867999570432,5.981781244646 52.868001790352,5.98177536846 52.868004317947,5.981769050695 52.868007135316,5.981759561032 52.868011496236,5.981719631206 52.868030324696,5.98171627323 52.868032381415,5.981713677604 52.868034802789,5.981711947054 52.868037498439,5.981711139266 52.868040342265,5.981711327022 52.868043226063,5.98171231593 52.868046051947,5.98171431193 52.868048675105,5.981717209361 52.868050970249))","POLYGON((195032.855 542485.623,195031.691 542484.723,195030.351 542483.879,195028.935 542483.172,195027.456 542482.606,195025.929 542482.189,195026.382 542482.044,195027.14 542481.754,195027.88 542481.421,195028.64 542481.02,195029.379 542480.58,195030.094 542480.103,195030.783 542479.589,195031.594 542478.921,195032.186 542478.406,195032.788 542477.904,195033.401 542477.415,195034.024 542476.938,195034.657 542476.475,195035.279 542476.056,195035.904 542475.642,195036.534 542475.235,195037.168 542474.834,195037.805 542474.439,195038.503 542474.034,195039.208 542473.641,195039.919 542473.261,195040.637 542472.894,195042.091 542472.184,195042.827 542471.846,195043.57 542471.524,195044.321 542471.218,195045.078 542470.929,195045.838 542470.669,195046.601 542470.417,195047.366 542470.173,195048.134 542469.937,195048.905 542469.709,195049.517 542469.535,195050.132 542469.372,195050.75 542469.221,195051.371 542469.081,195051.994 542468.953,195052.17 542468.941,195052.711 542468.858,195052.692 542468.762,195052.957 542468.71,195053.53 542468.606,195053.545 542468.692,195054.429 542468.545,195055.181 542468.426,195055.678 542468.356,195056.146 542468.297,195056.586 542468.254,195057.027 542468.222,195057.95 542468.171,195059.287 542473.948,195059.176 542473.652,195059.006 542473.385,195058.778 542473.173,195058.516 542473.005,195058.228 542472.889,195057.923 542472.826,195057.612 542472.821,195055.004 542473.145,195052.433 542473.651,195051.712 542473.86,195049.745 542474.4,195049.156 542474.581,195048.009 542474.942,195047.257 542475.189,195046.571 542475.423,195045.954 542475.648,195045.343 542475.887,195044.833 542476.1,195043.807 542476.553,195042.744 542477.042,195042.185 542477.312,195041.632 542477.593,195041.085 542477.886,195040.543 542478.189,195037.956 542479.708,195037.581 542479.942,195037.212 542480.186,195036.814 542480.464,195036.386 542480.774,195035.743 542481.254,195033.037 542483.327,195032.809 542483.554,195032.632 542483.822,195032.513 542484.121,195032.456 542484.437,195032.466 542484.758,195032.53 542485.073,195032.662 542485.366,195032.855 542485.623))",,,,,,,P0021.6b965a0db59a4fad8d9a15e733b10a68,,,,,,,,,,,,4.25,,,,,,,07d591be5c763141199a224310e775b0,,263,N351,"buiten bebouwde kom","26,3",,2017,,links,,2017,N351-HRB-26.2-26.3,263,152.04,,,,20180125152516,,,P0021,,0,bestaand,,"rijbaan lokale weg","gesloten verharding",,0,,,asfalt,,,,,,,,,,,,,,,,wegdeel,,,,,,,2018-01-25,,NL.IMGEO,Verhardingsobject,Verhardingsobject,Asfaltverharding,,,Wegen,Rijbaan,,"afrit en entree","niet van toepassing",veen,hoog,17-01-WN,4.25,SMA,"SMA-NL 8A",,,A+,A+,152.04
VV-N351-00002,voetpad,,,,,,,,,,,,,Verhardingen,voetpad,,,,,,,,,,,,,,,,,,,"POLYGON((5.98202214543 52.867896523266,5.982013649285 52.867897500249,5.982012781605 52.867894853496,5.982021351876 52.867893867157,5.98202214543 52.867896523266))","POLYGON((195053.53 542468.605,195052.957 542468.709,195052.901 542468.414,195053.479 542468.309,195053.53 542468.605))",,,,,,,G0098.2b365ef4a1e048aeb373891a8375c093,,,,"geen beoordeling",,,,,,,,,,,,,,,09e57554a7f777893b207f5c350ce85b,,263,N351,"buiten bebouwde kom","26,3",,,,links,,,,263,0.18,,,,20240226123006,,,P0021,,0,bestaand,,voetpad,"open verharding",,0,,,tegels,,,,,,,,,,,,,,,,wegdeel,,,,,,,2018-01-25,,NL.IMGEO,,,,,,,,,voetpad,voetpad,,,,0.60,,,,,A+,A+,0.18
VV-N351-00002081,pechhaven,,,,,,,,,,,,,Verhardingen,pechhaven,,,,,,,,,,,,,,,,,,,"POLYGON((6.170821492313 52.950974663087,6.170800477411 52.950971053506,6.170689112003 52.950954826163,6.170641245286 52.9509457131,6.170626750469 52.950942267419,6.170514173249 52.950906627697,6.17039741651 52.950868579888,6.170323156916 52.950843886129,6.17029689442 52.950833912362,6.170267278785 52.950820329961,6.170216644124 52.950793791774,6.170173917282 52.950770122397,6.170154379278 52.950760922308,6.170139267393 52.950754595897,6.170821492313 52.950974663087))","POLYGON((207666.21 551834.488,207664.802 551834.071,207657.337 551832.184,207654.131 551831.135,207653.161 551830.741,207645.638 551826.693,207637.837 551822.374,207632.876 551819.572,207631.123 551818.443,207629.149 551816.91,207625.778 551813.92,207622.935 551811.255,207621.633 551810.217,207620.625 551809.502,207666.21 551834.488))",,,,,,,P0021.0b9446844ed04970ac4f5a85ff8fc75a,,,,,,,,,,,,,,,,,,,0d80a09dddbaff059a9d1eac67564bd5,,93,N351,"buiten bebouwde kom","9,3",,2020,,rechts,,1962,N351-HRB-08.4-12.1,93,115.78,,,,20200910120600,,,P0021,,0,bestaand,,parkeervlak,"gesloten verharding",,0,,,asfalt,,,,,,,,,,,,,,,,wegdeel,,,,,,,2017-04-07,,NL.IMGEO,Verhardingsobject,Verhardingsobject,Asfaltverharding,,,Parkeervoorziening,,,pechhaven,stroomweg,,,19-43-WN,,SMA,"SMA-NL 8A",,,A+,A+,115.78
VV-N351-00001661,"inrit en doorsteek-",,,,,,,,,,,,,Verhardingen,"inrit en doorsteek",,,,,,,,,,,,,,,,,,,"POLYGON((6.109794375043 52.921896061673,6.109794363897 52.921896286407,6.109793613014 52.921920069694,6.109717812495 52.921881652058,6.10975092237 52.921874235393,6.109794375043 52.921896061673))","POLYGON((203597.112 548555.915,203597.111 548555.94,203597.034 548558.586,203591.979 548554.26,203594.214 548553.457,203597.112 548555.915))",,,,,,,P0021.07d319c68d1e4d63b84bb5bbeee3b3ae,,,,,,,,,,,,,,,,,,,0d8a7cab3f6427bb7f3ae9d9d0eed4cc,,145,N351,"buiten bebouwde kom","14,5",,,,links,,,N351-PWL-13.3-19.8,145,10.83,,,,20180712134046,,,P0021,,0,bestaand,,inrit,"open verharding",,0,,,"gebakken klinkers",,,,,,,,,,,,,,,,wegdeel,,,,,,,2016-04-07,,NL.IMGEO,Verhardingsobject,Verhardingsobject,Elementenverharding,Straatbaksteen,"Gebakken steen",Wegen,Inrit,,"inrit en doorsteek","niet van toepassing",,,,,elementenverharding,"straatbaksteen dikformaat",,,A+,A+,10.83
VV-N351-00000238,fietsdoorsteek,In,N351,links,263,,,,,,,,,Verhardingen,"inrit en doorsteek","Provincie Fryslân",,,,"Provincie Fryslân",,,,,,,,,,,,,,"POLYGON((5.982051090196 52.867964192636,5.982015793485 52.867968808079,5.982017862656 52.867968078824,5.982019541573 52.867967045968,5.982020712541 52.867965790976,5.98202131714 52.867964386035,5.982021282712 52.867962948333,5.982016663072 52.867945420326,5.982015633592 52.867943978599,5.982013880024 52.867942801098,5.982011612224 52.867942030562,5.982009053793 52.867941728785,5.982006472637 52.867941939363,5.982044589301 52.86793720202,5.982042398398 52.867937716201,5.982040524111 52.867938579285,5.98203912893 52.867939727554,5.982038315458 52.867941061643,5.982038141746 52.867942482409,5.982042452732 52.867960245609,5.982043376186 52.86796153509,5.982044801959 52.867962633346,5.982046655071 52.867963486829,5.982048785921 52.867964015405,5.982051090196 52.867964192636))","POLYGON((195055.417 542476.152,195053.036 542476.646,195053.176 542476.566,195053.29 542476.452,195053.37 542476.313,195053.412 542476.157,195053.411 542475.997,195053.116 542474.044,195053.048 542473.883,195052.931 542473.751,195052.779 542473.664,195052.607 542473.629,195052.433 542473.651,195055.004 542473.145,195054.856 542473.201,195054.729 542473.296,195054.634 542473.423,195054.578 542473.571,195054.565 542473.729,195054.839 542475.708,195054.9 542475.852,195054.995 542475.975,195055.119 542476.071,195055.262 542476.131,195055.417 542476.152))",,,,,,,P0021.13e26770dc7f4c09a2280d0b48dfd6eb,,,,,,,,,,,,1.45,,,,,,,0dcc751d92c9ef793dda418d56157e5a,,263,N351,"buiten bebouwde kom","26,3",,2017,,links,,2017,N351-HRB-26.2-26.3,263,4.75,,,,20180125152516,,,P0021,,0,bestaand,,voetpad,"gesloten verharding",,0,,,asfalt,,,,,,,,,,,,,,,,wegdeel,,,,,,,2018-01-25,,NL.IMGEO,Verhardingsobject,Verhardingsobject,Asfaltverharding,,,Voetpad,,,fietsdoorsteek,voetpad,veen,,17-01-WN,1.45,SMA,"SMA-NL 5",,,A+,A+,4.75
VV-N351-000013,"verkeerseiland of middengeleider",,,,,,,,,,,,,Verhardingen,"verkeerseiland of middengeleider",,,,,,,,,,,,,,,,,,,"POLYGON((6.020318158062 52.880975822507,6.020317259783 52.880975341991,6.020316685949 52.880974697993,6.020316482423 52.880973980137,6.020316679956 52.880973260152,6.020317264867 52.880972618993,6.020369558911 52.880928827868,6.020370442074 52.880928266006,6.020371565898 52.88092790956,6.020372826667 52.880927777056,6.020374076229 52.880927896238,6.020375225071 52.880928240623,6.020376138204 52.88092872106,6.020376771324 52.880929355756,6.020377049121 52.880930073218,6.020376955828 52.880930810623,6.020376505256 52.880931496004,6.020336219538 52.88097975271,6.020335485174 52.880980331756,6.020334480832 52.8809807325,6.020333324822 52.880980918369,6.020332120993 52.880980879823,6.0203310029 52.880980607168,6.020318158062 52.880975822507))","POLYGON((197619.496 543945.941,197619.436 543945.887,197619.398 543945.815,197619.385 543945.735,197619.399 543945.655,197619.439 543945.584,197623.002 543940.742,197623.062 543940.68,197623.138 543940.641,197623.223 543940.627,197623.307 543940.641,197623.384 543940.68,197623.445 543940.734,197623.487 543940.805,197623.505 543940.885,197623.498 543940.967,197623.467 543941.043,197620.708 543946.389,197620.658 543946.453,197620.59 543946.497,197620.512 543946.517,197620.431 543946.512,197620.356 543946.481,197619.496 543945.941))",,,,,,,P0021.8aebb4d084ef46e0a49729ec874f5ed2,,,,,,,,,,,,,,,,,,,12715fa03b5422ca73f6a5fabe01e4bf,,221,N351,,22.1,,,,midden,,,,22.1,6.65,,,,20230125092742,,,P0021,,0,bestaand,,verkeerseiland,"gesloten verharding",,,0,,cementbeton,,,,,,,,,,,,,,,,ondersteunendwegdeel,,,,,,,2022-10-31,,NL.IMGEO,,,,,,,,,"verkeerseiland of middengeleider","niet van toepassing",,,,,betonverharding,"beton creteprint",,,,,6.65
VV-N351-00000131,bermverharding,,,,,,,,,,,,,Verhardingen,bermverharding,,,,,,,,,,,,,,,,,,,"POLYGON((6.025231699142 52.882484065932,6.025156776212 52.88246334779,6.025159329279 52.882460152846,6.025178302243 52.882465389504,6.02523413061 52.882480682916,6.025282836889 52.882493516085,6.025308098086 52.882499042616,6.025333795471 52.882503919765,6.025359809942 52.882508130197,6.025386096674 52.882511656178,6.025412640678 52.8825144888,6.025437808215 52.882516654777,6.025463076058 52.882518568583,6.025488399644 52.882520230459,6.025513749131 52.882521631576,6.025539228764 52.882522789351,6.025566078171 52.882524155472,6.025583594982 52.882524286421,6.025606172863 52.882524093727,6.025628652419 52.882523272486,6.025651048766 52.882521840589,6.025673317209 52.882519789291,6.025695621016 52.882517108729,6.025715287935 52.882514936543,6.025732859835 52.882512739619,6.025734046602 52.882516687418,6.025717880365 52.882518499379,6.025696728776 52.88252073343,6.025674365681 52.882523423296,6.025651830117 52.882525493998,6.025629151794 52.882526945376,6.025606390131 52.882527777114,6.025583604415 52.882527979906,6.025565775394 52.882527832654,6.025538747599 52.8825264585,6.025513253241 52.882525309791,6.025487784653 52.882523891338,6.025462371937 52.882522229939,6.025436999979 52.882520307702,6.025411683763 52.882518133534,6.025384916413 52.882515266159,6.025358361772 52.882511705665,6.025332094245 52.882507460639,6.02530615853 52.88250253983,6.025280584335 52.882496943079,6.025231699142 52.882484065932))","POLYGON((197948.775 544116.685,197943.752 544114.335,197943.927 544113.981,197945.199 544114.575,197948.942 544116.31,197952.208 544117.767,197953.903 544118.397,197955.628 544118.955,197957.375 544119.439,197959.141 544119.847,197960.925 544120.178,197962.617 544120.434,197964.316 544120.662,197966.019 544120.862,197967.724 544121.033,197969.438 544121.177,197971.244 544121.345,197972.423 544121.37,197973.943 544121.362,197975.457 544121.284,197976.966 544121.138,197978.467 544120.923,197979.971 544120.638,197981.297 544120.408,197982.482 544120.174,197982.558 544120.614,197981.468 544120.806,197980.042 544121.042,197978.534 544121.328,197977.015 544121.545,197975.487 544121.693,197973.954 544121.772,197972.42 544121.781,197971.22 544121.754,197969.402 544121.585,197967.687 544121.442,197965.974 544121.269,197964.265 544121.069,197962.559 544120.84,197960.857 544120.583,197959.058 544120.248,197957.274 544119.836,197955.51 544119.348,197953.769 544118.785,197952.053 544118.147,197948.775 544116.685))",,,,,,,P0021.845478a8b3b447af93e0954facd66da3,,,,,,,,,,,,,,,,,,,131afdb38584ad8270d5a57a16d3a683,,218,N351,"buiten bebouwde kom","21,8",,,,links,,2020,N351-PWL-21.7-21.8,218,16.4,,,,20210121123351,,,P0021,,0,bestaand,,berm,"half verhard",,,0,,grasklinkers,,,,,,,,,,,,,,,,ondersteunendwegdeel,,,,,,,2021-01-21,,NL.IMGEO,,,,,,,,,bermverharding,"niet van toepassing",,,,0.4,bermverharding,grasbetontegel,,,A+,A+,16.4
VV-N351-00000797,voetpad,,,,,,,,,,,,,Verhardingen,voetpad,,,,,,,,,,,,,,,,,,,"POLYGON((6.135777008214 52.934227000582,6.135768574076 52.934234746037,6.135766074235 52.93425200712,6.13572770415 52.934236619813,6.135756352987 52.934229835041,6.135764814556 52.934221954615,6.135772910188 52.934214417976,6.135777449036 52.934210228699,6.135785589587 52.93420270975,6.135798020421 52.934207709295,6.135789849819 52.934215210459,6.135785193539 52.93421949034,6.135777008214 52.934227000582))","POLYGON((205330.283 549945.861,205329.707 549946.717,205329.519 549948.636,205326.957 549946.897,205328.891 549946.162,205329.469 549945.291,205330.022 549944.458,205330.332 549943.995,205330.888 549943.164,205331.718 549943.729,205331.16 549944.558,205330.842 549945.031,205330.283 549945.861))",,,,,,,P0021.0046a861fa5c4e7b9305e900b3a633a8,,,,,,,,,,,,,,,,,,,16372c8539c86e4fa9d192fd2a48a1e5,,123,N351,"buiten bebouwde kom","12,3",,,,links,,,N351-PWL-08.5-12.4,123,7.05,,,,20230227200244,,,P0021,,0,bestaand,,voetpad,"open verharding",,0,,,"gebakken klinkers",,,,,,,,,,,,,,,,wegdeel,,,,,,,2017-04-07,,NL.IMGEO,Verhardingsobject,Verhardingsobject,Elementenverharding,Straatbaksteen,"Gebakken steen",Voetpad,,,voetpad,"niet van toepassing",,,,,elementenverharding,"straatbaksteen dikformaat",,,A+,A+,7.05
VV-N351-00001194,"inrit en doorsteek",,,,,,,,,,,,,Verhardingen,"inrit en doorsteek",,,,,,,,,,,,,,,,,,,"POLYGON((6.190382046631 52.958617312863,6.190282950922 52.958588403941,6.190304670592 52.958576674141,6.190329636576 52.958555369699,6.190358617426 52.958564565931,6.190367631609 52.958565143384,6.190405567151 52.958579761264,6.190377555897 52.958605399789,6.190382046631 52.958617312863))","POLYGON((208971.36 552699.388,208964.737 552696.097,208966.211 552694.808,208967.915 552692.456,208969.851 552693.501,208970.456 552693.572,208972.987 552695.227,208971.073 552698.059,208971.36 552699.388))",,,,,,,P0021.03c472d952c340baa3aac980e037dfd9,,,,,,,,,,,,,,,,,,,1674cc893b2cd447f12290d780a52d36,,77,N351,"buiten bebouwde kom","7,7",,,,links,,,N351-PWL-06.7-08.5,77,28.22,,,,20210115103039,,,P0021,,0,bestaand,,inrit,"open verharding",,0,,,"gebakken klinkers",,,,,,,,,,,,,,,,wegdeel,,,,,,,2016-04-14,,NL.IMGEO,Verhardingsobject,Verhardingsobject,Elementenverharding,Straatbaksteen,"Gebakken steen",Wegen,Inrit,,"inrit en doorsteek","niet van toepassing",,,,,elementenverharding,"straatbaksteen dikformaat",,,A+,A+,28.22
